customer_id,email,first_name,last_name,state,country,created_at,updated_at,loyalty_tier,is_active
C001,alex.morgan@example.com,Alex,Morgan,CA,US,2026-08-02T16:12:00Z,2026-08-02T16:12:00Z,Silver,TRUE
C002,jordan.lee@example.com,Jordan,Lee,OR,US,2026-08-05T19:04:00Z,2026-08-05T19:04:00Z,Bronze,TRUE
C003,taylor.kim@example.com,Taylor,Kim,CA,US,2026-08-06T17:45:00Z,2026-09-02T15:05:00Z,Silver,TRUE
C004,casey.nguyen@example.com,Casey,Nguyen,TX,US,2026-08-10T14:30:00Z,2026-08-10T14:30:00Z,Gold,TRUE
C005,morgan.patel@example.com,Morgan,Patel,NY,US,2026-08-11T12:11:00Z,2026-08-11T12:11:00Z,Bronze,TRUE
C006,riley.johnson@example.com,Riley,Johnson,CO,US,2026-08-12T20:05:00Z,2026-08-12T20:05:00Z,Silver,TRUE
C007,jamie.chen@example.com,Jamie,Chen,CA,US,2026-08-15T18:21:00Z,2026-09-02T17:10:00Z,Gold,TRUE
C008,avery.davis@example.com,Avery,Davis,AZ,US,2026-08-16T11:44:00Z,2026-08-16T11:44:00Z,Bronze,TRUE
C009,cameron.wilson@example.com,Cameron,Wilson,IL,US,2026-08-18T15:50:00Z,2026-08-18T15:50:00Z,Gold,TRUE
C010,skyler.brown@example.com,Skyler,Brown,FL,US,2026-08-20T13:15:00Z,2026-08-20T13:15:00Z,Bronze,TRUE
C011,quinn.garcia@example.com,Quinn,Garcia,NV,US,2026-08-22T22:10:00Z,2026-08-22T22:10:00Z,Silver,TRUE
C012,drew.martin@example.com,Drew,Martin,CA,US,2026-08-24T09:40:00Z,2026-09-02T18:00:00Z,Bronze,FALSE
C013,parker.thomas@example.com,Parker,Thomas,UT,US,2026-08-25T08:25:00Z,2026-08-25T08:25:00Z,Bronze,TRUE
C014,reese.moore@example.com,Reese,Moore,MA,US,2026-08-27T14:14:00Z,2026-08-27T14:14:00Z,Gold,TRUE
C015,sage.jackson@example.com,Sage,Jackson,GA,US,2026-08-28T17:07:00Z,2026-08-28T17:07:00Z,Silver,TRUE
C016,rowan.white@example.com,Rowan,White,CA,US,2026-09-02T19:05:00Z,2026-09-02T19:05:00Z,Bronze,TRUE
